年,月,規模,就業形態,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,前月末労働者数,本月末労働者数,パートタイム労働者数,現金給与総額指数,きまって支給する給与指数,所定内給与指数,所定外給与指数,特別給与指数,総実労働時間指数,所定内労働時間指数,所定外労働時間指数,CPI(持ち家除く総合),実質_現金給与総額指数,実質_きまって支給する給与指数,実質_所定内給与指数,実質_所定外給与指数,実質_特別給与指数,実質_現金給与総額,実質_きまって支給する給与,実質_所定内給与,実質_所定外給与,実質_特別給与
1970,99,30人以上,形態計,75670,56294.0,,,19376.0,186.6,169.9,16.7,,,,20.37382070391591,19.014132079550368,,,25.71671267785092,129.22437673130193,128.71212121212122,134.6774193548387,31.3,65.09207892624892,60.748025813259964,,,82.16202133498697,241757.18849840254,179853.03514376996,,,61904.15335463258
1970,99,500人以上,形態計,86729,62516.0,,,,185.4,164.1,21.3,,,,18.095685194458355,17.013841640313302,,,,124.34607645875253,121.64566345441065,150.00000000000003,31.3,57.81369071711935,54.35732153454729,,,,277089.4568690096,199731.62939297123,,,
1970,99,100〜499人,形態計,75148,55818.0,,,,186.3,169.8,16.5,,,,20.12592765185905,18.692546490249857,,,,128.9273356401384,128.1509433962264,137.5,31.3,64.30008834459761,59.72059581549475,,,,240089.45686900956,178332.26837060702,,,
1970,99,30〜99人,形態計,68937,52674.0,,,,187.8,173.8,14.0,,,,22.14245793906223,20.636966631536467,,,,132.34672304439746,133.58954650269027,118.64406779661016,31.3,70.74267712160457,65.93280073973312,,,,220246.00638977636,168287.53993610223,,,
1971,99,30人以上,形態計,86834,64542.0,,,22292.0,184.8,169.8,15.0,,,,23.379679489940983,21.800016212710766,,,29.58696113824591,127.97783933518005,128.63636363636363,120.96774193548387,33.1,70.6334727792779,65.86107617133162,,,89.38658954152842,262338.3685800604,194990.9365558912,,,67347.43202416917
1971,99,500人以上,形態計,98901,71304.0,,,,181.7,163.8,17.9,,,,20.63532799198798,19.405511618160144,,,,121.86452045606974,121.42327650111193,126.056338028169,33.1,62.34238064044707,58.62692331770436,,,,298794.5619335347,215419.93957703927,,,
1971,99,100〜499人,形態計,86040,64061.0,,,,184.7,169.7,15.0,,,,23.0429926966247,21.452994029021035,,,,127.82006920415223,128.0754716981132,125.0,33.1,69.61629213481783,64.81267078254089,,,,259939.5770392749,193537.76435045316,,,
1971,99,30〜99人,形態計,79419,60422.0,,,,187.0,173.9,13.1,,,,25.509260151477193,23.672529099948676,,,,131.7829457364341,133.66641045349732,111.01694915254237,33.1,77.06725121292203,71.51821480347031,,,,239936.55589123865,182543.80664652569,,,
1972,99,30人以上,形態計,100586,74585.0,,,26001.0,183.8,169.2,14.6,,,,27.082346099168568,25.192188175529616,,,34.50971543852198,127.28531855955679,128.1818181818182,117.74193548387095,34.6,78.2726765871924,72.80979241482548,,,99.73906196104619,290710.9826589595,215563.58381502892,,,75147.39884393064
1972,99,500人以上,形態計,114429,82741.0,,,31688.0,180.3,163.3,17.0,,,,23.87518778167251,22.5181117019829,,,28.333840018598327,120.92555331991952,121.05263157894737,119.71830985915493,34.6,69.00343289500725,65.08124769359219,,,81.88971103641136,330719.65317919076,239135.838150289,,,91583.81502890174
1972,99,100〜499人,形態計,99632,74035.0,,,25597.0,183.5,168.8,14.7,,,,26.683164206765596,24.793125504418793,,,34.23065607531627,126.98961937716263,127.39622641509433,122.49999999999999,34.6,77.11897169585433,71.65643209369593,,,98.93253200958458,287953.7572254335,213973.98843930635,,,73979.76878612717
1972,99,30〜99人,形態計,92405,69753.0,,,22652.0,186.4,173.4,13.0,,,,29.680343296909427,27.32828973401609,,,40.38293548214572,131.3601127554616,133.28209069946195,110.16949152542372,34.6,85.78133900840874,78.98349634108696,,,116.713686364583,267066.4739884393,201598.26589595375,,,65468.20809248554
1973,99,30人以上,形態計,122545,88590.0,,,33955.0,182.0,166.6,15.4,,,,32.994712014819285,29.922584306095978,,,45.06662773412614,126.0387811634349,126.2121212121212,124.19354838709677,38.7,85.25765378506274,77.31933929223767,,,116.4512344551063,316653.7467700258,228914.7286821705,,,87739.0180878553
1973,99,500人以上,形態計,140688,98444.0,,,42244.0,179.8,161.2,18.6,,,,29.354031046569855,26.791711344919744,,,37.772492355013505,120.59020791415158,119.49592290585618,130.98591549295776,38.7,75.85020942266112,69.22922828144637,,,97.60333941863954,363534.8837209302,254377.2609819121,,,109157.62273901807
1973,99,100〜499人,形態計,121238,87768.0,,,33470.0,182.0,166.2,15.8,,,,32.469622833024005,29.392085355194553,,,44.7591537618016,125.9515570934256,125.43396226415094,131.66666666666666,38.7,83.90083419386048,75.94854096949496,,,115.6567280666708,313276.48578811367,226790.6976744186,,,86485.78811369509
1973,99,30〜99人,形態計,112263,83108.0,,,29115.0,183.3,170.3,13.0,,,,36.05870222975968,32.56059959019123,,,51.904872265701606,129.17547568710359,130.89930822444276,110.16949152542372,38.7,93.17494116216972,84.1359162537241,,,134.1211169656372,290085.27131782944,214749.35400516793,,,75232.55813953487
1974,99,30人以上,形態計,154967,110456.0,,,44511.0,175.5,162.9,12.6,,,,41.724195493904276,37.308149589277996,,,59.07703334041198,121.53739612188366,123.4090909090909,101.61290322580645,48.1,86.74468917651616,77.5637205598295,,,122.82127513599164,322176.71517671517,229638.25363825363,,,92538.46153846153
1974,99,500人以上,形態計,176554,122208.0,,,54346.0,172.1,157.5,14.6,,,,36.83733934234685,33.25912661045825,,,48.59350131440119,115.42588866532529,116.75315048183839,102.8169014084507,48.1,76.58490507764418,69.14579336893607,,,101.02599025863033,367056.13305613305,254070.68607068603,,,112985.446985447
1974,99,100〜499人,形態計,153776,109429.0,,,44347.0,175.5,162.3,13.2,,,,41.18385919242399,36.64600433339696,,,59.304875765599505,121.45328719723183,122.49056603773585,109.99999999999999,48.1,85.62132888237835,76.18711919625147,,,123.29496001164138,319700.6237006237,227503.11850311852,,,92197.5051975052
1974,99,30〜99人,形態計,142195,103847.0,,,38348.0,177.6,166.9,10.7,,,,45.67281440510834,40.68586159747063,,,68.36503663558733,125.15856236786469,128.2859338970023,90.6779661016949,48.1,94.95387610209633,84.58599084713228,,,142.13105329643935,295623.70062370057,215898.12889812887,,,79725.57172557173
1975,99,30人以上,形態計,177213,130004.0,,,47209.0,172.0,161.4,10.6,,,,47.71383492008788,43.910776048421965,,,62.657942238267154,119.11357340720221,122.27272727272727,85.48387096774192,53.8,88.6874255020221,81.61854284093303,,,116.46457665105419,329392.1933085502,241643.12267657992,,,87749.07063197027
1975,99,500人以上,形態計,201839,142589.0,,,59250.0,166.6,155.8,10.8,,,,42.11296110832916,38.80585235220797,,,52.97841520771115,111.73708920187792,115.49295774647888,76.05633802816902,53.8,78.27687938351146,72.12983708588843,,,98.4728907206527,375165.4275092937,265035.31598513015,,,110130.11152416357
1975,99,100〜499人,形態計,176292,129562.0,,,46730.0,171.9,160.6,11.3,,,,47.21403147923479,43.38822079561704,,,62.4916419267699,118.96193771626298,121.20754716981132,94.16666666666667,53.8,87.75842282385649,80.64725054947405,,,116.15546826537158,327680.2973977695,240821.56133829,,,86858.73605947956
1975,99,30〜99人,形態計,162196,122304.0,,,39892.0,175.5,165.8,9.7,,,,52.09710471712052,47.91706661547322,,,71.11760825771486,123.67864693446089,127.44043043812454,82.20338983050847,53.8,96.83476713219429,89.06517958266397,,,132.1888629325555,301479.5539033457,227330.85501858738,,,74148.69888475837
1976,99,30人以上,形態計,200242,146957.0,,,53285.0,174.5,162.9,11.6,,,,53.914293714728814,49.636902831820144,,,70.72228710978976,120.84487534626038,123.4090909090909,93.54838709677419,58.9,91.53530342059221,84.27317968050959,,,120.0717947534631,339969.4397283532,249502.54668930394,,,90466.89303904925
1976,99,500人以上,形態計,227034,162718.0,,,64316.0,170.6,157.4,13.2,,,,47.369804707060595,44.28399584152057,,,57.50818147677891,114.41985244802146,116.67902149740547,92.95774647887323,58.9,80.42411665035755,75.1850523625137,,,97.6369804359574,385456.7062818336,276261.46010186756,,,109195.24617996605
1976,99,100〜499人,形態計,197718,144991.0,,,52727.0,174.2,162.4,11.8,,,,52.95228300780151,48.55514364842554,,,70.5113803525101,120.55363321799307,122.56603773584906,98.33333333333334,58.9,89.9020085022097,82.43657665267494,,,119.71371876487285,335684.2105263158,246164.6859083192,,,89519.5246179966
1976,99,30〜99人,形態計,185442,138708.0,,,46734.0,177.3,166.8,10.5,,,,59.56368401780724,54.3439337723955,,,83.31520867131371,124.94714587737843,128.20906994619526,88.98305084745762,58.9,101.12679799288156,92.26474324685144,,,141.45196718389425,314842.1052631579,235497.45331069612,,,79344.6519524618
1977,99,30人以上,形態計,219620,162025.0,,,57595.0,174.7,162.7,12.0,17928433.0,17910848.0,,59.13173652694611,54.72634295287505,,,76.44271607559992,120.98337950138503,123.25757575757575,96.77419354838709,63.6,92.9744285014876,86.04770904540102,,,120.19294980440239,345314.465408805,254756.2893081761,,,90558.17610062893
1977,99,500人以上,形態計,249159,179953.0,,,69206.0,171.7,157.4,14.3,4436692.0,4430481.0,,51.98610415623435,48.97453203498783,,,61.880577263541916,115.15761234071094,116.67902149740547,100.70422535211267,63.6,81.73915747835589,77.00398118708777,,,97.29650513135522,391759.4339622641,282944.9685534591,,,108814.46540880504
1977,99,100〜499人,形態計,216433,159949.0,,,56484.0,174.0,162.4,11.6,6703848.0,6694906.0,,57.9644820816896,53.56433620998556,,,75.53558533258446,120.41522491349481,122.56603773584906,96.66666666666667,63.6,91.13912276995221,84.22065441821628,,,118.76664360469253,340303.45911949687,251492.13836477988,,,88811.32075471697
1977,99,30〜99人,形態計,203469,152362.0,,,51107.0,177.3,166.5,10.8,6787893.0,6785463.0,,65.3539285783114,59.693387817787894,,,91.11119034460627,124.94714587737843,127.97847809377403,91.52542372881356,63.6,102.75774933696759,93.85752801538978,,,143.25658859214823,319919.8113207547,239562.89308176102,,,80356.9182389937
1978,99,30人以上,形態計,235378,174739.0,,,60639.0,175.2,162.9,12.3,17717459.0,17698762.0,,63.37450997286004,59.02068471681798,,,80.48285198555956,121.32963988919667,123.4090909090909,99.19354838709677,66.0,96.0219848073637,89.42527987396663,,,121.9437151296357,356633.3333333334,264756.0606060606,,,91877.27272727272
1978,99,500人以上,形態計,266322,193848.0,,,72474.0,171.8,157.4,14.4,4275205.0,4266461.0,,55.567100650976464,52.75608123186789,,,64.8026609917917,115.22468142186453,116.67902149740547,101.40845070422534,66.0,84.19257674390373,79.93345641192104,,,98.18584998756317,403518.1818181818,293709.0909090909,,,109809.0909090909
1978,99,100〜499人,形態計,231972,172553.0,,,59419.0,174.5,162.5,12.0,6655258.0,6645946.0,,62.126093698528884,57.78521219914873,,,79.46053652143678,120.7612456747405,122.64150943396226,100.0,66.0,94.13044499777104,87.55335181689202,,,120.39475230520725,351472.72727272724,261443.9393939394,,,90028.78787878787
1978,99,30〜99人,形態計,219244,164857.0,,,54387.0,178.2,166.9,11.3,6786996.0,6786355.0,,70.42083421662909,64.58876120999369,,,96.95862228798602,125.58139534883719,128.2859338970023,95.76271186440678,66.0,106.69823366155921,97.86175940908134,,,146.9070034666455,332187.8787878788,249783.33333333334,,,82404.54545454546
1979,99,30人以上,形態計,247909,183256.0,170994.0,,64677.0,176.2,163.0,13.2,18517839.0,18518835.0,,66.74842760522122,61.89742758322525,63.13306036249248,,85.8422701210448,122.02216066481992,123.48484848484848,106.4516129032258,68.3,97.72829810427706,90.62580905303844,92.43493464493775,,125.68414366185183,362970.71742313326,268310.39531478775,250357.24743777455,,94695.46120058566
1979,99,500人以上,形態計,288214,208241.0,189952.0,,79973.0,173.8,157.6,16.2,4124935.0,4120058.0,,60.13478551160073,56.673162022849866,57.50910538633178,,71.50789534862926,116.56606304493629,116.82727946627129,114.08450704225352,68.3,88.04507395549156,82.97681116083436,84.2007399507054,,104.69677210633861,421982.43045388,304891.654465593,278114.2020497804,,117090.77598828696
1979,99,100〜499人,形態計,246321,181627.0,169340.0,,64694.0,175.1,161.9,13.2,6876920.0,6873475.0,,65.96900283618425,60.823948213562126,61.84332100167628,,86.51475032763646,121.17647058823529,122.18867924528303,109.99999999999999,68.3,96.58711981871778,89.05409694518613,90.54659004637816,,126.66874132889674,360645.6808199122,265925.32942898973,247935.57833089313,,94720.35139092241
1979,99,30〜99人,形態計,227328,171051.0,162113.0,,56277.0,178.7,167.0,11.7,7515983.0,7525301.0,,73.01740253232862,67.015487323745,68.66169145800156,,100.32802666999447,125.93375616631431,128.36279784780936,99.15254237288134,68.3,106.90688511321906,98.1193079410615,100.52956289604913,,146.89315764274446,332837.48169838946,250440.70278184483,237354.31918008786,,82396.77891654466
1980,99,30人以上,形態計,263386,193923.0,176739.0,,69463.0,175.7,162.2,13.5,18901244.0,18906603.0,,70.91554301469004,65.50036478599222,65.25418409655636,,92.19446803992355,121.6759002770083,122.87878787878788,108.87096774193547,73.8,96.09152170012202,88.7538818238377,88.4203036538704,,124.92475344163083,356891.59891598916,262768.29268292687,239483.7398373984,,94123.30623306234
